26146	Software	0	Blockchain &amp; Cybersecurity
26147	Software	0	Space Technology
26148	Software	0	Blockchain &amp; Cybersecurity
26149	Software	0	Blockchain &amp; Cybersecurity
26150	Software	0	Blockchain &amp; Cybersecurity
26151	Software	0	Blockchain &amp; Cybersecurity
26152	Software	0	Blockchain &amp; Cybersecurity
26153	Software	0	Blockchain &amp; Cybersecurity
26154	Software	0	Blockchain &amp; Cybersecurity
26155	Software	0	Blockchain &amp; Cybersecurity
26156	Software	0	Blockchain &amp; Cybersecurity
26157	Software	0	Blockchain &amp; Cybersecurity
26158	Software	0	Robotics and Drones
26159	Software	0	Blockchain &amp; Cybersecurity
26160	Software	0	Blockchain &amp; Cybersecurity
26161	Software	0	Disaster Management
26162	Software	0	Disaster Management
26163	Software	0	Smart Automation
26164	Software	0	Blockchain &amp; Cybersecurity
26165	Software	0	Smart Automation
26166	Software	0	Space Technology
26167	Software	0	Space Technology
26168	Software	0	Smart Vehicles
26169	Software	0	Smart Automation
26170	Software	0	Smart Automation
26171	Software	0	Smart Automation
26172	Hardware	0	Smart Automation
26173	Software	0	Smart Automation
26174	Software	0	Space Technology
26175	Software	0	Disaster Management
26176	Software	0	Disaster Management
26177	Hardware	0	Robotics and Drones
26178	Hardware	0	Disaster Management
26179	Hardware	0	Miscellaneous
26180	Hardware	0	Agriculture, FoodTech &amp; Rural Development
26181	Hardware	0	MedTech / BioTech / HealthTech
26182	Software	0	Blockchain &amp; Cybersecurity
26183	Software	0	Blockchain &amp; Cybersecurity
26184	Software	0	Blockchain &amp; Cybersecurity
26185	Hardware	0	Robotics and Drones
26186	Software	0	MedTech / BioTech / HealthTech
26187	Software	0	Blockchain &amp; Cybersecurity
26188	Software	0	Blockchain &amp; Cybersecurity
26189	Software	0	Blockchain &amp; Cybersecurity
26190	Software	0	Blockchain &amp; Cybersecurity
26191	Software	0	Disaster Management
26192	Software	0	Disaster Management
26193	Software	0	Agriculture, FoodTech &amp; Rural Development
26194	Software	0	Blockchain &amp; Cybersecurity
26195	Software	0	Clean &amp; Green Technology
26196	Software	0	Fitness &amp; Sports
26197	Software	0	Heritage &amp; Culture
26198	Software	0	MedTech / BioTech / HealthTech
26199	Software	0	Miscellaneous
26200	Software	0	Renewable / Sustainable Energy
26201	Software	0	Robotics and Drones
26202	Software	0	Smart Automation
26203	Software	0	Smart Vehicles
26204	Software	0	Travel &amp; Tourism
26205	Software	0	Transportation &amp; Logistics
26206	Software	0	Disaster Management
26207	Software	0	Smart Education
26208	Software	0	Toys &amp; Games
26209	Software	0	Space Technology
26210	Hardware	0	Agriculture, FoodTech &amp; Rural Development
26211	Hardware	0	Blockchain &amp; Cybersecurity
26212	Hardware	0	Clean &amp; Green Technology
26213	Hardware	0	Fitness &amp; Sports
26214	Hardware	0	Heritage &amp; Culture
26215	Hardware	0	MedTech / BioTech / HealthTech
26216	Hardware	0	Miscellaneous
26217	Hardware	0	Renewable / Sustainable Energy
26218	Hardware	0	Robotics and Drones
26219	Hardware	0	Smart Automation
26220	Hardware	0	Smart Vehicles
26221	Hardware	0	Travel &amp; Tourism
26222	Hardware	0	Transportation &amp; Logistics
26223	Hardware	0	Disaster Management
26224	Hardware	0	Smart Education
26225	Hardware	0	Toys &amp; Games
26226	Hardware	0	Space Technology
26227	Software	0	Space Technology
26228	Software	0	Blockchain &amp; Cybersecurity
26229	Software	0	Clean &amp; Green Technology
